Timestamp,Angle [deg],Velocity [deg/s],Target [norm]
0.0,1632.5687527119137,-26.442002245287494,0.0
0.0003755999932764098,1632.6546963811836,-33.83888738042642,0.0
0.0006663999956799671,1632.4828090426442,-26.31595153035871,0.0
0.0009833999938564375,1632.832313297674,16.11730277703006,0.0
0.0013109999999869615,1632.7463696284044,26.35605857601787,0.0
0.001585899997735396,1632.7463696284044,14.220812475147033,0.0
0.0019358999998075888,1632.6546963811836,-7.838062637389663,0.0
0.002213200001278892,1632.832313297674,48.12272521303784,0.0
0.0025119999918388203,1632.9182569669435,25.290357077074535,0.0
0.0028894999995827675,1632.4828090426442,-28.45308410619668,0.0
0.003187399997841567,1632.3051921261538,-71.39054127330057,0.0
0.0034675999922910705,1632.4828090426442,-46.753356082675175,0.0
0.0037601999938488007,1632.6546963811836,-39.356470947536245,0.0
0.004037499995320104,1632.9182569669435,2.0912959522275045,0.0
